Criticality,CSL1,CSL2,CSL3,Function,Category,Sub-Category,Required Data,Workload,Table,Schema,Schema Value,Workload  Integration,Event Reference,Microsoft Sentinel Event,Microsoft XDR Event,ExcelPKID
EL0,01,AA,01,Identity,Identity & Credential Management,Account,Account Creation,Entra,AuditLogs,OperationName,Add User,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"AuditLogs //(Success/Failures) of 'Add User' by Sync, User, App and Service. B2BAdmin worker is SCIM.
| where TimeGenerated > ago(30d)
| where OperationName == ""Add user""  
| extend InitiatedBySync = iif(tostring(InitiatedBy.user.userPrincipalName) !has ""Sync"", """", tostring(InitiatedBy.user.userPrincipalName))
| extend InitiatedByUser = iif(tostring(InitiatedBy.user.userPrincipalName) has ""Sync"", """", tostring(InitiatedBy.user.userPrincipalName))
| distinct TimeGenerated,       
            ['Service'] = Identity,      
            ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), 
            ['InitiatedBySync'], 
            ['InitiatedByUser'], 
            Result,
            ['Target-Resource'] = tostring(TargetResources)
| sort by TimeGenerated desc
| take 1000",NA,EL001280
EL0,01,AB,02,Identity,Identity & Credential Management,Account,Account Creation,Entra,AuditLogs,OperationName,Add Service Principal,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"AuditLogs //(Success/Failures) of 'Add Service Principal' Service, User, App.
| where TimeGenerated > ago(30d) 
| where OperationName == ""Add service principal""
| project TimeGenerated, ['Service'] = Identity, ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), ['InitiatedByUser'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), OperationName, Result, ['Target-Resource'] = tostring(TargetResources)
| sort by TimeGenerated desc
| take 1000",NA,EL001281
EL0,01,AC,03,Identity,Identity & Credential Management,Account,Account Creation,Entra,MicrosoftGraphActivityLogs,RequestUri,Applications,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,"https://learn.microsoft.com/en-us/graph/api/application-post-applications?view=graph-rest-1.0&tabs=http

","MicrosoftGraphActivityLogs  //View SP POST (Success/Failures) methods from PowerShell, GraphExplorer, Consent Grant and etc
| where TimeGenerated > ago(30d)
| where RequestMethod == 'POST'
| where RequestUri has '/applications' //Captures /beta and /v1.0
| join ( AuditLogs
| extend id_ = tostring(parse_json(tostring(InitiatedBy.user)).id)
)
on $left.UserId == $right.id_
| where OperationName == ""Add service principal""
| project ActivityDateTime, RequestUri, ['Service'] = Identity, ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), ['InitiatedByUser'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), OperationName, Result, ['Target-Resource'] = tostring(TargetResources)
| sort by ActivityDateTime desc
| take 1000",NA,EL001282
EL0,01,AD,04,Identity,Identity & Credential Management,Account,Account Creation,Entra,MicrosoftGraphActivityLogs,RequestUri,ServicePrincipals,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/graph/api/serviceprincipal-post-serviceprincipals,"MicrosoftGraphActivityLogs //View SP POST (Success/Failures) methods from PowerShell, GraphExplorer, Consent Grant and etc
| where TimeGenerated > ago(30d)
| where RequestMethod == 'POST'
| where RequestUri has '/servicePrincipals' //Captures /beta and /v1.0
| join ( AuditLogs
| extend id_ = tostring(parse_json(tostring(InitiatedBy.user)).id)
)
on $left.UserId == $right.id_
| where OperationName == ""Add service principal""
| project ActivityDateTime, RequestUri, ['Service'] = Identity, ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), ['InitiatedByUser'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), OperationName, Result, ['Target-Resource'] = tostring(TargetResources)
| sort by ActivityDateTime desc
| take 1000",NA,EL001283
EL0,01,AE,05,Identity,Identity & Credential Management,Account,Account Creation,Entra,MicrosoftGraphActivityLogs,RequestUri,Users,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/graph/api/user-post-users,"MicrosoftGraphActivityLogs //View SP POST (Success/Failures) methods on Add user
| where TimeGenerated > ago(30d)
| where RequestMethod == 'POST'
| where RequestUri has '/users' //Captures /beta and /v1.0
| join (
    AuditLogs
    | extend Id = tostring(parse_json(tostring(InitiatedBy.user)).id)
) on $left.UserId == $right.Id
| where OperationName == ""Add user""
| project ActivityDateTime, RequestUri, ['Service'] = Identity, ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), ['InitiatedByUser'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), OperationName, Result, ['Target-Resource'] = tostring(TargetResources)
| sort by ActivityDateTime desc
| take 1000",NA,EL001284
EL0,01,AF,06,Identity,Identity & Credential Management,Account,Account Creation,Entra,AADProvisioningLogs,ProvisioningAction,Create,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-provisioning-logs#what-can-you-do-with-the-provisioning-logs,"AADProvisioningLogs //Users created (Success/Skipped/Failures) by AADProvisioningService - Connect Sync server is an example
| where TimeGenerated > ago(30d)
| where ProvisioningAction == ""create"" //creation is shown by any type service principal using SCIM
| extend ['Service'] = tostring(parse_json(InitiatedBy).Name)
| extend ['InitiatedByApp'] = tostring(parse_json(ServicePrincipal).Name)
| distinct TimeGenerated, ['Service'], ['InitiatedByApp'], OperationName, ResultType, ModifiedProperties
| take 1000",NA,EL001285
EL0,01,AG,07,Identity,Identity & Credential Management,Account,Account Creation,Windows,SecurityEvent,Activity,4720(S): A user account was created,M-21-31 DCR RULE - on Git,https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-10/security/threat-protection/auditing/event-4720,"SecurityEvent
| where TimeGenerated > ago(30d)
| where EventData == 4720
| where Activity == ""4720 - A user account was created.""
| distinct TimeGenerated, Activity, ['Initiated By'] = SubjectUserName, TargetUserName
| sort by TimeGenerated desc
| take 1000",NA,EL001286
EL0,01,AH,08,Identity,Identity & Credential Management,Account,Account Creation,Microsoft Defender for Endpoint,DeviceEvents,ActionType,User Account Created,Microsoft Defender XDR to Microsoft Sentinel; https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDE,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-deviceevents-table,"DeviceEvents 
| where TimeGenerated > ago(30d)
| where ActionType == ""UserAccountCreated"" //Detect when a local user account is created on an endpoint, will reveal accounts created on Domain Controllers if agent is present
//Exclude defaultuser1 which is created by Windows through different processes 
| where AccountName != ""defaultuser1""
| project
    TimeGenerated, 
    ActionType,
    InitiatedBy=InitiatingProcessAccountName,  
    ['Initiated On Device'] = DeviceName,
    ['Account Created Name']=AccountName,
     AccountSid, AccountDomain
| sort by TimeGenerated desc 
| take 1000","DeviceEvents 
| where Timestamp > ago(30d)
| where ActionType == ""UserAccountCreated"" //Detect when a local user account is created on an endpoint, will reveal accounts created on Domain Controllers if agent is present
//Exclude defaultuser1 which is created by Windows through different processes 
| where AccountName != ""defaultuser1""
| project
    Timestamp, 
    ActionType,
    InitiatedBy=InitiatingProcessAccountName,  
    ['Initiated On Device'] = DeviceName,
    ['Account Created Name']=AccountName,
     AccountSid, AccountDomain
| sort by Timestamp desc 
| take 1000",
EL0,01,AI,09,Identity,Identity & Credential Management,Account,Account Creation,Microsoft Defender for Identity,IdentityDirectoryEvents,ActionType,User Account Created,Microsoft Defender XDR to Microsoft Sentinel; https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDI,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-identitydirectoryevents-table,"IdentityDirectoryEvents //Defender for Identity detecting when directory user account was created and by whom
| where TimeGenerated > ago(30d)
| where ActionType == ""User Account Created"" 
| distinct TimeGenerated, ActionType, ['Initiated By'] = tostring(AdditionalFields.[""ACTOR.ACCOUNT""]), ['Initiated On'] = DestinationDeviceName, TargetAccountUpn, TargetAccountDisplayName
| sort by TimeGenerated desc
| take 1000","IdentityDirectoryEvents //Defender for Identity detecting when directory user account was created and by whom
| where Timestamp > ago(30d)
| where ActionType == ""User Account Created"" 
| distinct Timestamp, ActionType, ['Initiated By'] = tostring(AdditionalFields.[""ACTOR.ACCOUNT""]), ['Initiated On'] = DestinationDeviceName, TargetAccountUpn, TargetAccountDisplayName
| sort by Timestamp desc
| take 1000",EL001288
EL0,01,AJ,10,Identity,Identity & Credential Management,Account,Account Creation,Microsoft Defender for Identity,IdentityDirectoryEvents,ActionType,Device Account Created,https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDI,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-identitydirectoryevents-table,"IdentityDirectoryEvents //Defender for Identity detecting when directory device account was created and by whom. No domain suffix could mean admin manually created object
| where TimeGenerated > ago(30d)
| where ActionType == ""Device Account Created""
| distinct TimeGenerated, ActionType, ['Initiated By'] = tostring(AdditionalFields.[""ACTOR.ACCOUNT""]), ['Initiated On'] = DestinationDeviceName, ['Device Created'] = TargetDeviceName
| sort by TimeGenerated desc
| take 1000","IdentityDirectoryEvents //Defender for Identity detecting when directory device account was created and by whom. No domain suffix could mean admin manually created object
| where Timestamp > ago(30d)
| where ActionType == ""Device Account Created""
| distinct 
Timestamp, ActionType, ['Initiated By'] = tostring(AdditionalFields.[""ACTOR.ACCOUNT""]), ['Initiated On'] = DestinationDeviceName, ['Device Created'] = TargetDeviceName
| sort by Timestamp desc
| take 1000",EL001289
