Criticality,CSL1,CSL2,CSL3,CSL4,Function,Category,Sub-Category,Required Data,Workload,Table,Schema,Schema Value,Workload  Integration,Event Reference,Microsoft Unified SecOps Events
EL0,01,AA,01,01,Identity,Identity & Credential Management,Account,Account Creation,Entra,AuditLogs,OperationName,Add User,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"// Objective: Detects new user creation events in Entra ID and allows for targeted filtering by initiator or target UPN.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave these lists empty to return all results.
// Add specific UPNs to filter for certain initiators or targets.
//
let TargetedUserUPNs = dynamic([]); // Example: dynamic([""user1@domain.com"", ""user2@domain.com""])
let InitiatorUPNs = dynamic([]);    // Example: dynamic([""admin@domain.com""])
// 
// ----- Part 1: Filter for ""Add user"" Operations -----
// Only include ""Add user"" events from the last 30 days.
//
AuditLogs
| where TimeGenerated > ago(30d)
| where OperationName == ""Add user""
//
// ----- Part 2: Parse Nested JSON Fields -----
// Safely extract initiator and target user information from nested JSON.
//
| extend InitiatorInfo = todynamic(InitiatedBy)
| extend TargetInfo = todynamic(TargetResources)[0]
//
// ----- Part 3: Enrich and Normalize Data -----
// Create clean, uniform columns for reporting and analysis.
//
| extend
    Status = Result,
    FailureReason = tostring(ResultSignature),
    InitiatorType = case(
        tostring(InitiatorInfo.user.userPrincipalName) has_cs ""Sync"", ""Sync Process"",
        isnotempty(InitiatorInfo.user.userPrincipalName), ""Interactive User"",
        isnotempty(InitiatorInfo.app.displayName), ""Application"",
        ""Other""
    ),
    Initiator = coalesce(
        tostring(InitiatorInfo.user.userPrincipalName),
        tostring(InitiatorInfo.app.displayName)
    ),
    InitiatorIpAddress = tostring(InitiatorInfo.user.ipAddress),
    TargetUserUPN = tostring(TargetInfo.userPrincipalName),
    TargetUserID = tostring(TargetInfo.id)
//
// ----- Part 4: Apply Dynamic Filters -----
// If either list is empty, all rows pass the filter.
//
| where (array_length(TargetedUserUPNs) == 0 or TargetUserUPN in (TargetedUserUPNs))
| where (array_length(InitiatorUPNs) == 0 or Initiator in (InitiatorUPNs))
//
// ----- Part 5: Final Output -----
// Output a clean, deduplicated table of user creation events.
//
| distinct TimeGenerated, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetUserUPN, TargetUserID
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,01,02,Identity,Identity & Credential Management,Account,Account Creation,Entra,MicrosoftGraphActivityLogs,RequestUri,Users,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/graph/api/user-post-users,"// Objective: Detects user account creation events in Entra ID by correlating Microsoft Graph activity and AuditLogs, allowing targeted review by initiator or target UPN.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave empty to return all results, or populate with UPNs for targeted filtering.
//
let TargetedUserUPNs = dynamic([]);  // Example: dynamic([""user1@domain.com""])
let InitiatorUPNs = dynamic([]);     // Example: dynamic([""admin@domain.com""])
//
// ----- Part 1: Pre-filter Microsoft Graph Activity Logs -----
// Only POST requests to /users in the last 30 days are relevant for user creation.
//
MicrosoftGraphActivityLogs
| where TimeGenerated > ago(30d)
| where RequestMethod == 'POST'
| where RequestUri has '/users' // Captures both /beta and /v1.0 endpoints
//
// ----- Part 2: Join with AuditLogs for ""Add user"" events -----
// Correlate Graph activity with audit logs by matching UserId to InitiatedBy.user.id.
//
| join kind=inner (
    AuditLogs
    | where TimeGenerated > ago(30d)
    | where OperationName == ""Add user""
    | extend InitiatorInfo = todynamic(InitiatedBy)
    | extend TargetInfo = todynamic(TargetResources)[0]
    | extend InitiatorUserId = tostring(InitiatorInfo.user.id)
    | extend
        Status = Result,
        FailureReason = tostring(ResultSignature),
        InitiatorType = case(
            tostring(InitiatorInfo.user.userPrincipalName) has_cs ""Sync"", ""Sync Process"",
            isnotempty(InitiatorInfo.user.userPrincipalName), ""Interactive User"",
            isnotempty(InitiatorInfo.app.displayName), ""Application"",
            ""Other""
        ),
        Initiator = coalesce(
            tostring(InitiatorInfo.user.userPrincipalName),
            tostring(InitiatorInfo.app.displayName)
        ),
        InitiatorIpAddress = tostring(InitiatorInfo.user.ipAddress),
        TargetUserUPN = tostring(TargetInfo.userPrincipalName),
        TargetUserID = tostring(TargetInfo.id)
    | project AuditTimeGenerated = TimeGenerated, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetUserUPN, TargetUserID, InitiatorUserId
) on $left.UserId == $right.InitiatorUserId
//
// ----- Part 3: Output Normalization -----
// Flatten and unify column names for final output.
//
| extend TimeGenerated = AuditTimeGenerated
//
// ----- Part 4: Apply Flexible Filters -----
// Show all unless filtering is explicitly requested.
//
| where (array_length(TargetedUserUPNs) == 0 or TargetUserUPN in (TargetedUserUPNs))
| where (array_length(InitiatorUPNs) == 0 or Initiator in (InitiatorUPNs))
//
// ----- Part 5: Summarization -----
// Use arg_max to get the latest event per TargetUserID.
//
| summarize arg_max(TimeGenerated, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetUserUPN, TargetUserID, RequestId, RequestUri, IPAddress, ResponseStatusCode) by TargetUserID
//
// ----- Part 6: Final Output -----
// Clean, readable table of the most recent user creation events per user.
//
| project TimeGenerated, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetUserUPN, TargetUserID, RequestId, RequestUri, IPAddress, ResponseStatusCode
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,01,03,Identity,Identity & Credential Management,Account,Account Creation,Entra,AuditLogs,OperationName,"Add service principal
",https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"// Objective: Detects and tracks creation of new Azure AD service principals, providing visibility into new application and automation identities.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave these lists empty to show all results.
//
let InitiatorUPNs = dynamic([]);       // Example: dynamic([""admin@domain.com""])
let TargetedAppIds = dynamic([]);      // Example: dynamic([""00000003-0000-0000-c000-000000000000""])
// 
// ----- Part 1: Filter for ""Add service principal"" Operations -----
// Only include ""Add service principal"" events from the last 30 days.
//
AuditLogs
| where TimeGenerated > ago(30d)
| where OperationName == ""Add service principal""
//
// ----- Part 2: Extract AppId from AdditionalDetails or modifiedProperties -----
// This block finds and extracts the AppId from AdditionalDetails, and falls back to modifiedProperties if needed.
//
| mv-apply Detail = todynamic(AdditionalDetails) on (
    where Detail.key == ""AppId""
    | project TargetSpAppId = tostring(Detail.value)
)
| extend TargetSpAppId = iff(isnotempty(TargetSpAppId), TargetSpAppId,
    extract(@""AppId"""":\s*""""([^""""]+)"""""", 1, tostring(TargetResources)))
//
// ----- Part 3: Parse Nested JSON Fields -----
// Safely parse initiator and target service principal information.
//
| extend InitiatorInfo = todynamic(InitiatedBy)
| extend TargetSpInfo = todynamic(TargetResources)[0]
//
// ----- Part 4: Enrich and Normalize Data -----
// Create clean, uniform columns for reporting and analysis.
//
| extend
    Status = Result,
    FailureReason = tostring(ResultSignature),
    InitiatorType = case(
        isnotempty(InitiatorInfo.user.userPrincipalName), ""User"",
        isnotempty(InitiatorInfo.app.displayName), ""Application"",
        tostring(Identity) has_cs ""Microsoft"", ""Microsoft Service"",
        ""Other""
    ),
    Initiator = coalesce(
        tostring(InitiatorInfo.user.userPrincipalName),
        tostring(InitiatorInfo.app.displayName),
        tostring(Identity)
    ),
    InitiatorIpAddress = tostring(InitiatorInfo.user.ipAddress),
    TargetSpName = tostring(TargetSpInfo.displayName),
    TargetSpId = tostring(TargetSpInfo.id)
//
// ----- Part 5: Apply Dynamic Filters -----
// If filter lists are empty, all records pass.
//
| where (array_length(InitiatorUPNs) == 0 or Initiator in (InitiatorUPNs))
| where (array_length(TargetedAppIds) == 0 or TargetSpAppId in (TargetedAppIds))
//
// ----- Part 6: Final Output -----
// Output a clean, deduplicated table of service principal creation events.
//
| distinct TimeGenerated, OperationName, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetSpName, TargetSpAppId, TargetSpId
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,01,04,Identity,Identity & Credential Management,Account,Account Creation,Entra,"
MicrosoftGraphActivityLogs",OperationName,"
servicePrincipals
",https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"// Objective: Detects creation of new service principals in Entra ID. Uses both MicrosoftGraphActivityLogs and AuditLogs for comprehensive coverage.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave empty to return all results.
//
let InitiatorUPNs = dynamic([]);       // Example: dynamic([""admin@domain.com""])
let TargetedAppIds = dynamic([]);      // Example: dynamic([""00000003-0000-0000-c000-000000000000""])
//
// ----- Part 1: Pre-filter Microsoft Graph Activity Logs -----
// Only POST requests to /servicePrincipals in the last 30 days are relevant for service principal creation.
//
MicrosoftGraphActivityLogs
| where TimeGenerated > ago(30d)
| where RequestMethod == 'POST'
| where RequestUri has '/servicePrincipals'
//
// ----- Part 2: Join with AuditLogs for ""Add service principal"" events -----
// Correlate Graph activity with audit logs by matching UserId to InitiatedBy.user.id.
//
| join kind=inner (
    AuditLogs
    | where TimeGenerated > ago(30d)
    | where OperationName == ""Add service principal""
    | where isnotempty(todynamic(InitiatedBy).user.id)
    | extend InitiatorInfo = todynamic(InitiatedBy)
    | extend TargetSpInfo = todynamic(TargetResources)[0]
    | extend InitiatingUserId = tostring(InitiatorInfo.user.id)
    // Extract AppId from AdditionalDetails if present
    | mv-apply Detail = todynamic(AdditionalDetails) on (
        where Detail.key == ""AppId""
        | project TargetSpAppId = tostring(Detail.value)
    )
    // Classify InitiatorType and Initiator
    | extend InitiatorType = case(
        isnotempty(InitiatorInfo.user.userPrincipalName), ""User"",
        isnotempty(InitiatorInfo.app.displayName), ""Application"",
        tostring(InitiatorInfo.identity) has_cs ""Microsoft"", ""Microsoft Service"",
        ""Other""
    )
    | extend Initiator = coalesce(
        tostring(InitiatorInfo.user.userPrincipalName),
        tostring(InitiatorInfo.app.displayName),
        tostring(InitiatorInfo.identity)
    )
    | extend TargetSpName = tostring(TargetSpInfo.displayName)
    | extend TargetSpId = tostring(TargetSpInfo.id)
    | extend Status = Result
    | extend FailureReason = tostring(ResultSignature)
    | project AuditTimeGenerated = TimeGenerated, OperationName, InitiatorType, Initiator, TargetSpName, TargetSpId, TargetSpAppId, Status, FailureReason, InitiatingUserId
) on $left.UserId == $right.InitiatingUserId
//
// ----- Part 3: Output Normalization -----
// Flatten and unify column names for final output.
//
| extend TimeGenerated = AuditTimeGenerated
//
// ----- Part 4: Apply Dynamic Filters -----
// Skip filtering if lists are empty.
//
| where (array_length(InitiatorUPNs) == 0 or Initiator in (InitiatorUPNs))
| where (array_length(TargetedAppIds) == 0 or TargetSpAppId in (TargetedAppIds))
//
// ----- Part 5: Final Output -----
// Clean, readable table of correlated service principal creation events.
//
| distinct TimeGenerated, OperationName, Status, FailureReason, InitiatorType, Initiator, IPAddress, RequestUri, TargetSpName, TargetSpId, TargetSpAppId
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,01,05,Identity,Identity & Credential Management,Account,Account Creation,Entra,AuditLogs,OperationName,Add application,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs, https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"// Objective: Detects creation of new applications in Entra ID using AuditLogs.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave these empty to return all results.
//
let InitiatorUPNs = dynamic([]);       // Example: dynamic([""admin@domain.com""])
let TargetedAppIds = dynamic([]);      // Example: dynamic([""00000003-0000-0000-c000-000000000000""])
//
// ----- Part 1: Control Flag -----
// Set this to 'true' to show only multi-tenant applications.
// Set to 'false' to show ALL new applications.
//
let showOnlyMultiTenant = false;
//
// ----- Part 2: Pre-filter Audit Logs -----
// Only ""Add application"" operations in the last 30 days.
//
AuditLogs
| where TimeGenerated > ago(30d)
| where OperationName == ""Add application""
//
// ----- Part 3: Safe Parsing -----
// Expand and parse dynamic fields for property extraction.
//
| mv-expand Target = todynamic(TargetResources)
| extend Properties = todynamic(Target.modifiedProperties)
| mv-expand Property = Properties
| extend PropName = tostring(Property.displayName), PropValue = tostring(Property.newValue)
| summarize
    arg_max(TimeGenerated, *),
    MtaValue = take_anyif(PropValue, PropName == ""AvailableToOtherTenants""),
    AppIdValue = take_anyif(PropValue, PropName == ""AppId"")
    by CorrelationId, AppObjectId = tostring(Target.id)
//
// ----- Part 4: Analysis & Enrichment -----
// Derive multi-tenancy, initiator, and status details.
//
| extend
    IsMultiTenant = coalesce(tostring(todynamic(MtaValue)[0]) == 'true', false),
    InitiatorInfo = todynamic(InitiatedBy),
    TargetInfo = todynamic(Target)
| extend
    Status = Result,
    InitiatorType = case(
        isnotempty(InitiatorInfo.user.userPrincipalName), ""User"",
        isnotempty(InitiatorInfo.app.displayName), ""Application"",
        ""Other""
    ),
    Initiator = coalesce(
        tostring(InitiatorInfo.user.userPrincipalName),
        tostring(InitiatorInfo.app.displayName)
    ),
    InitiatorIpAddress = tostring(InitiatorInfo.user.ipAddress),
    TargetSpAppId = tostring(todynamic(AppIdValue)[0])
//
// ----- Part 5: Flexible Filtering -----
// Apply multi-tenant control flag and dynamic filters.
//
| where showOnlyMultiTenant == false or IsMultiTenant == true
| where (array_length(InitiatorUPNs) == 0 or Initiator in (InitiatorUPNs))
| where (array_length(TargetedAppIds) == 0 or TargetSpAppId in (TargetedAppIds))
//
// ----- Part 6: Final Output -----
// Clean, readable table of application creation events.
//
| distinct TimeGenerated, OperationName, Status, InitiatorType, Initiator, InitiatorIpAddress, IsMultiTenant, TargetSpName = tostring(TargetInfo.displayName), TargetSpAppId, TargetSpId = AppObjectId
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,01,06,Identity,Identity & Credential Management,Account,Account Creation,Entra,MicrosoftGraphActivityLogs,RequestUri,servicePrincipals,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,"https://learn.microsoft.com/en-us/graph/api/application-post-applications?view=graph-rest-1.0&tabs=http

","// Objective: Correlates MicrosoftGraphActivityLogs and AuditLogs to identify creation of new applications and service principals in Entra ID.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave empty to show all results.
//
let InitiatorUPNs = dynamic([]);       // Example: dynamic([""admin@domain.com""])
let TargetedAppIds = dynamic([]);      // Example: dynamic([""00000003-0000-0000-c000-000000000000""])
//
// ----- Part 1: Pre-filter Microsoft Graph Activity Logs -----
// Only POST requests to /servicePrincipals in the last 30 days.
//
MicrosoftGraphActivityLogs
| where TimeGenerated > ago(30d)
| where RequestMethod == 'POST'
| where RequestUri has '/servicePrincipals'
//
// ----- Part 2: Join with AuditLogs for ""Add application"" events -----
// Extracts and normalizes initiator and target details, and ensures AppId is captured from both AdditionalDetails and modifiedProperties.
//
| join kind=inner (
    AuditLogs
    | where TimeGenerated > ago(30d)
    | where OperationName == ""Add application""
    | extend InitiatorInfo = todynamic(InitiatedBy)
    | extend TargetSpInfo = todynamic(TargetResources)[0]
    | extend InitiatingUserId = tostring(InitiatorInfo.user.id)
    | mv-apply Detail = todynamic(AdditionalDetails) on (
        where Detail.key == ""AppId""
        | project TargetSpAppId = tostring(Detail.value)
    )
    | extend ModifiedProps = TargetSpInfo.modifiedProperties
    | mv-apply prop = ModifiedProps on (
        where prop.displayName == ""AppId""
        | extend AppIdFromProps = tostring(parse_json(prop.newValue)[0])
    )
    | extend TargetSpAppId = coalesce(TargetSpAppId, AppIdFromProps)
    | extend
        Status = Result,
        FailureReason = tostring(ResultSignature),
        InitiatorType = case(
            isnotempty(InitiatorInfo.user.userPrincipalName), ""User"",
            isnotempty(InitiatorInfo.app.displayName), ""Application"",
            tostring(InitiatorInfo.identity) has_cs ""Microsoft"", ""Microsoft Service"",
            ""Other""
        ),
        Initiator = coalesce(
            tostring(InitiatorInfo.user.userPrincipalName),
            tostring(InitiatorInfo.app.displayName),
            tostring(InitiatorInfo.identity)
        ),
        InitiatorIpAddress = tostring(InitiatorInfo.user.ipAddress),
        TargetSpName = tostring(TargetSpInfo.displayName),
        TargetSpId = tostring(TargetSpInfo.id)
    | project AuditTimeGenerated = TimeGenerated, OperationName, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetSpName, TargetSpAppId, TargetSpId, InitiatingUserId
) on $left.UserId == $right.InitiatingUserId
//
// ----- Part 3: Output Normalization -----
// Flatten and unify column names for final output.
//
| extend TimeGenerated = AuditTimeGenerated
//
// ----- Part 4: Apply Flexible Filters -----
// Filters only activate if input lists are not empty.
//
| where (array_length(InitiatorUPNs) == 0 or Initiator in (InitiatorUPNs))
| where (array_length(TargetedAppIds) == 0 or TargetSpAppId in (TargetedAppIds))
//
// ----- Part 5: Final Output -----
// Clean, readable table of correlated application creation events.
//
| distinct TimeGenerated, OperationName, Status, FailureReason, InitiatorType, Initiator, InitiatorIpAddress, TargetSpName, TargetSpAppId, TargetSpId, RequestId, RequestUri, IPAddress, ResponseStatusCode
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,01,07,Identity,Identity & Credential Management,Account,Account Creation,Entra,AADProvisioningLogs,ProvisioningAction,Create,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-provisioning-logs#what-can-you-do-with-the-provisioning-logs,"// Objective: Surfaces user account creations from Entra ID Provisioning logs (AADProvisioningLogs).
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave these empty to return all results.
//
let TargetIdentities = dynamic([]);        // Example: dynamic([""john.doe@agency.gov""])
let InitiatingApps = dynamic([]);          // Example: dynamic([""Entra ID Cloud Sync""])
//
// ----- Part 1: Pre-filter AAD Provisioning Logs -----
// Only user creation events (ProvisioningAction == ""create"") in the last 390 days.
//
AADProvisioningLogs
| where TimeGenerated > ago(30d)
| where ProvisioningAction == ""create""
//
// ----- Part 2: Exclude Skipped Results -----
// Filter out provisioning events where the result was ""Skipped"".
//
| where ResultType <> ""Skipped""
//
// ----- Part 3: Parse and Enrich Details -----
// Extract key fields for clear, actionable output.
//
| extend
    Service = tostring(parse_json(InitiatedBy).Name),
    InitiatedByApp = tostring(parse_json(ServicePrincipal).Name)
//
// ----- Part 4: Apply Dynamic Filters -----
// Only restrict if filtering values are provided.
//
| where (array_length(TargetIdentities) == 0 or TargetIdentity in (TargetIdentities))
| where (array_length(InitiatingApps) == 0 or InitiatedByApp in (InitiatingApps))
//
// ----- Part 5: Summarize to Latest Event per Correlation and Target -----
// Use arg_max to get the latest event for each CorrelationId and TargetIdentity.
//
| summarize arg_max(TimeGenerated, OperationName, ResultType, ResultSignature, ResultDescription, Service, InitiatedByApp, TargetIdentity, TargetSystem, SourceIdentity, SourceSystem, ProvisioningStatusInfo, ModifiedProperties, CorrelationId)
  by CorrelationId, TargetIdentity
//
// ----- Part 6: Final Output -----
// Distinct, readable table for review and investigation.
//
| distinct TimeGenerated, OperationName, ResultType, ResultSignature, ResultDescription, Service, InitiatedByApp, TargetIdentity, TargetSystem, SourceIdentity, SourceSystem, ProvisioningStatusInfo, ModifiedProperties, CorrelationId
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,02,08,Identity,Identity & Credential Management,Account,Account Creation,Windows,SecurityEvent,Activity,4720 - A user account was created,https://github.com/Cyberlorians/M-21-31/blob/main/EL0/OperatingSystems/Windows/DCR/Security.md,https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-10/security/threat-protection/auditing/event-4720,"// Objective: Detects on-premises user account creation events (Event ID 4720) on Windows systems using SecurityEvent.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave these empty to return all user creation events.
//
let Targeted_User_SIDs = dynamic([]); // Example: dynamic([""S-1-5-...""])
let Actor_SIDs = dynamic([]);         // Example: dynamic([""S-1-5-...""])
//
// ----- Part 1: Pre-filter Security Events -----
// GPO Path: Enable ""Audit User Account Management"" (Success/Failure)
//
SecurityEvent
| where TimeGenerated > ago(14d)
| where EventID == 4720
| where Activity == ""4720 - A user account was created.""
//
// ----- Part 2: Exclude Known Service/Sync Accounts -----
// Filter out system/service and cloud sync accounts to reduce noise.
//
| where not(TargetUserName has_any ('MSOL', 'svc', '$'))
//
// ----- Part 3: Optional Filtering by Actor or Target -----
// TargetSid = SID of account being created
// SubjectUserSid = SID of actor who created the account
| where (array_length(Targeted_User_SIDs) == 0 or TargetSid in (Targeted_User_SIDs))
| where (array_length(Actor_SIDs) == 0 or SubjectUserSid in (Actor_SIDs))
//
// ----- Part 4: Enrichment -----
// Add friendly actor and IsTargetedUser flag for quick triage.
//
| extend
    Actor = SubjectUserName,
    ActorSid = SubjectUserSid,
    IsTargetedUser = TargetSid in (Targeted_User_SIDs)
//
// ----- Part 5: Final Output -----
// Clean, filtered table of user creation events.
//
| distinct TimeGenerated, IsTargetedUser, Computer, TargetUserName, TargetSid, Actor, ActorSid, Activity
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,06,09,Identity,Identity & Credential Management,Account,Account Creation,Microsoft Defender for Endpoint,DeviceEvents,ActionType,User Account Created,https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDE,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-deviceevents-table,"// Objective: Detects creation of local user accounts on Windows endpoints via Microsoft Defender for Endpoint (DeviceEvents).
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave empty to return all account creation events.
//
let Targeted_AccountSIDs = dynamic([]);   // e.g., [""S-1-5-21-...""]
let ActorAccounts = dynamic([]);          // e.g., [""admin"", ""ITops""]
//
// ----- Part 1: Filter DeviceEvents for Local Account Creation -----
// Excludes known system-created account like ""defaultuser1"".
//
DeviceEvents
| where TimeGenerated > ago(14d)
| where ActionType == ""UserAccountCreated""
| where AccountName != ""defaultuser1""
//
// ----- Part 2: Apply Dynamic Filters -----
// Filter on created account SID and initiating user (if needed).
//
| where (array_length(Targeted_AccountSIDs) == 0 or AccountSid in (Targeted_AccountSIDs))
| where (array_length(ActorAccounts) == 0 or InitiatingProcessAccountName in (ActorAccounts))
//
// ----- Part 3: Enrichment -----
// Rename fields and flag targeted accounts.
//
| extend
    TargetAccountName = AccountName,
    TargetAccountSid = AccountSid,
    Actor = InitiatingProcessAccountName,
    IsTargetedUser = AccountSid in (Targeted_AccountSIDs)
//
// ----- Part 4: Final Output -----
// Clean, friendly structure consistent with other queries.
//
| distinct TimeGenerated, IsTargetedUser, ActionType, ['Initiated On Device'] = DeviceName, Actor, TargetAccountName, TargetAccountSid, AccountDomain
| sort by TimeGenerated desc
| take 50"
EL0,01,AA,07,10,Identity,Identity & Credential Management,Account,Account Creation,Microsoft Defender for Identity,IdentityDirectoryEvents,ActionType,User Account Created,https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDI,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-identitydirectoryevents-table,"// Objective: Surfaces user account creations detected by Microsoft Defender for Identity (IdentityDirectoryEvents).
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave empty to return all directory account creation events.
//
let TargetedUPNs = dynamic([]);          // e.g., [""user1@domain.com""]
let ActorAccounts = dynamic([]);         // e.g., [""admin@domain.com""]
//
// ----- Part 1: Filter Defender for Identity Events -----
// Detect directory-based user account creation.
//
IdentityDirectoryEvents
| where TimeGenerated > ago(30d)
| where ActionType == ""User Account Created""
//
// ----- Part 2: Apply Dynamic Filters -----
// Based on target UPN and actor identity.
//
| where (array_length(TargetedUPNs) == 0 or TargetAccountUpn in (TargetedUPNs))
| where (array_length(ActorAccounts) == 0 or tostring(AdditionalFields.[""ACTOR.ACCOUNT""]) in (ActorAccounts))
//
// ----- Part 3: Final Output -----
// Friendly and enriched column names, consistent format.
//
| distinct TimeGenerated, ActionType, ['Initiated By'] = tostring(AdditionalFields.[""ACTOR.ACCOUNT""]), ['Initiated On'] = DestinationDeviceName, TargetAccountUpn, TargetAccountDisplayName
| sort by TimeGenerated desc
| take 50"
